Group	Italian	English
31	tuoi	your
31	destri	on the right
31	confini	confines
32	Qui	Here
32	li	them
32	trovai	found
32	e	and
32	poi	since
32	volta	turn
32	non	not
32	dierno	have given
32	rispuose	he answered
32	quando	when
32	piovvi	I rained down
32	in	into
32	questo	this
32	greppo	trough
32	e	and
32	non	not
32	credo	I do believe
32	che	-
32	dieno	they will give
32	in	to
32	sempiterno	all eternity
33	L'	One
33	una	-
33	è	is
33	la	the
33	falsa	false woman
33	ch'	that
33	accusò	accused
33	Gioseppo	Joseph
33	l'	the
33	altr'	other
33	è	is
33	'l	the
33	falso	false
33	Sinon	Sinon
33	greco	Greek
33	di	from
33	Troia	Troy
33	per	because of
33	febbre	fever
33	aguta	sharp
33	gittan	they throw out
33	tanto	such great
33	leppo	reek
34	E	And
34	l'	-
34	un	one
34	di	of
34	lor	them
34	che	who
34	si	it
34	recò	took
34	a	-
34	noia	ill
34	forse	perchance
34	d'	at
34	esser	being
34	nomato	named
34	sì	so
34	oscuro	darkly
34	col	with
34	pugno	fist
34	li	him
34	percosse	struck
34	l'	his
34	epa	paunch
34	croia	stiff
35	Quella	it
35	sonò	sounded
35	come	as
35	fosse	if it were
35	un	a
35	tamburo	drum
35	e	and
35	mastro	Master
35	Adamo	Adam
35	li	him
35	percosse	struck
35	il	the
35	volto	face
35	col	with
35	braccio	arm
35	suo	his
35	che	that
35	non	did not
35	parve	seem
35	men	less
35	duro	hard
36	dicendo	saying
36	a	to
36	lui	him
36	Ancor	Though
36	che	-
36	mi	me
36	sia	be
36	tolto	taken
36	lo	-
36	muover	moving hence
36	per	because of
36	le	my
36	membra	limbs
36	che	-
36	son	-
36	gravi	heavy
36	ho	have
36	io	I
36	il	an
36	braccio	arm
36	a	for
36	tal	such
36	mestiere	need
36	sciolto	free
37	Ond'	Whereon
37	ei	he
37	rispuose	replied
37	Quando	When
37	tu	thou
37	andavi	wast going
37	al	to the
37	fuoco	fire
37	non	not
37	l'	it
37	avei	hadst
37	tu	thou
37	così	thus
37	presto	ready
37	ma	but
37	sì	so
37	e	and
37	più	more
37	l'	it
37	avei	hadst
37	quando	when
37	coniavi	wast coining
38	E	And
38	l'	the
38	idropico	hydropic
38	Tu	Thou
38	di'	sayst
38	ver	true
38	di	in
38	questo	this
38	ma	but
38	tu	thou
38	non	not
38	fosti	wast
38	sì	so
38	ver	true
38	testimonio	witness
38	là	there
38	've	where
38	del	of the
38	ver	truth
38	fosti	wast
38	a	at
38	Troia	Troy
38	richesto	questioned
39	S'	If
39	io	I
39	dissi	spake
39	falso	false
39	e	and
39	tu	thou
39	falsasti	didst falsify
39	il	the
39	conio	coin
39	disse	said
39	Sinon	Sinon
39	e	and
39	son	am
39	qui	here
39	per	for
39	un	a single
39	fallo	sin
39	e	and
39	tu	thou
39	per	for
39	più	more
39	ch'	than
39	alcun	any
39	altro	other
39	demonio	demon
40	Ricorditi	Remember
40	spergiuro	perjured one
40	del	the
40	cavallo	horse
40	rispuose	answered
40	quel	he
40	ch'	who
40	avëa	had
40	infiata	puffed up
40	l'	the
40	epa	paunch
40	e	and
40	sieti	be it
40	reo	ill
40	che	that
40	tutto	whole
40	il	the
40	mondo	world
40	sallo	knows it
41	E	And
41	te	thee
41	sia	be
41	rea	ill
41	la	the
41	sete	thirst
41	onde	which
41	ti	thy
41	crepa	cracks
41	disse	said
41	'l	the
41	Greco	Greek
41	la	-
41	lingua	tongue
41	e	and
41	l'	the
41	acqua	water
41	marcia	putrid
41	che	that
41	'l	-
41	ventre	belly
41	innanzi	before
41	a	-
41	li	-
41	occhi	eyes
41	sì	thus
41	t'	thine
41	assiepa	makes a hedge
42	Allora	Then
42	il	the
42	monetier	coiner
42	Così	So
42	si	-
42	squarcia	yawns
42	la	-
42	bocca	mouth
42	tua	thy
42	per	for
42	tuo	own
42	mal	harm
42	come	as
42	suole	it is wont
42	ché	for
42	s'	if
42	i'	I
42	ho	am
42	sete	thirsty
42	e	and
42	omor	humor
42	mi	me
42	rinfarcia	stuffs me out
43	tu	thou
43	hai	hast
43	l'	the
43	arsura	burning
43	e	and
43	'l	the
43	capo	head
43	che	that
43	ti	thee
43	duole	pains
43	e	and
43	per	to
43	leccar	lick
43	lo	the
43	specchio	mirror
43	di	of
43	Narcisso	Narcissus
43	non	not
43	vorresti	wouldst want
43	a	-
43	'nvitar	invitation
43	molte	many
43	parole	words
44	Ad	To
44	ascoltarli	listen to them
44	er'	was
44	io	I
44	del	-
44	tutto	wholly
44	fisso	fixed
44	quando	when
44	'l	the
44	maestro	Master
44	mi	to me
44	disse	said
44	Or	Now
44	pur	then
44	mira	look
44	che	for
44	per	it wants
44	poco	but little
44	che	that
44	teco	with thee
44	non	-
44	mi	I
44	risso	quarrel
45	Quand'	When
45	io	I
45	'l	him
45	senti'	heard
45	a	to
45	me	me
45	parlar	speak
45	con	with
45	ira	anger
45	volsimi	I turned me
45	verso	toward
45	lui	him
45	con	with
45	tal	such
45	vergogna	shame
45	ch'	that
45	ancor	still
45	per	through
45	la	my
45	memoria	memory
45	mi	-
45	si	it
45	gira	circles
46	Qual	And as
46	è	is
46	colui	he
46	che	that
46	suo	his
46	dannaggio	harm
46	sogna	dreams
46	che	and
46	sognando	dreaming
46	desidera	desires
46	sognare	to dream
46	sì	so
46	che	that
46	quel	that
46	ch'	which
46	è	is
46	come	as if
46	non	not
46	fosse	were
46	agogna	craves
47	tal	such
47	mi	-
47	fec'	became
47	io	I
47	non	not
47	possendo	being able
47	parlare	to speak
47	che	for
47	disïava	desired
47	scusarmi	to excuse myself
47	e	and
47	scusava	was excusing
47	me	myself
47	tuttavia	indeed
47	e	and
47	nol	did not
47	mi	I
47	credea	think that
47	fare	was doing it
48	Maggior	greater
48	difetto	fault
48	men	Less
48	vergogna	shame
48	lava	doth wash away
48	disse	said
48	'l	the
48	maestro	Master
48	che	than
48	'l	-
48	tuo	thine
48	non	-
48	è	hath
48	stato	been
48	però	therefore
48	d'	of
48	ogne	all
48	trestizia	regret
48	ti	thyself
48	disgrava	disburden
49	E	and
49	fa	make
49	ragion	reckoning
49	ch'	that
49	io	I
49	ti	thy
49	sia	am
49	sempre	always
49	allato	at side
49	se	if
49	più	again
49	avvien	happen
49	che	that
49	fortuna	fortune
49	t'	thee
49	accoglia	find
49	dove	where
49	sien	are
49	genti	people
49	in	in
49	simigliante	similar
49	piato	brawl
50	ché	for
50	voler	the wish
50	ciò	it
50	udire	to hear
50	è	is
50	bassa	base
50	voglia	wish
