Group	Italian	English
15	ciò	that
15	che	which
15	tenem	we hold
15	per	by
15	fede	faith
15	non	not
15	dimostrato	demonstrated
15	ma	but
15	fia	it will be
15	per	of
15	sé	itself
15	noto	known
15	a	-
15	guisa	like
15	del	the
15	ver	truth
15	primo	first
15	che	which
15	l'	-
15	uom	man
15	crede	believes
16	Io	I
16	rispuosi	replied
16	Madonna	My Lady
16	sì	-
16	devoto	devoutly
16	com'	that
16	esser	-
16	posso	can
16	più	to the utmost
16	ringrazio	do I thank
16	lui	him
16	lo	-
16	qual	who
16	dal	from the
16	mortal	mortal
16	mondo	world
16	m'	me
16	ha	has
16	remoto	removed
17	Ma	But
17	ditemi	tell me
17	che	what
17	son	are
17	li	the
17	segni	marks
17	bui	dusky
17	di	of
17	questo	this
17	corpo	body
17	che	which
17	là	there
17	giuso	below
17	in	on
17	terra	earth
17	fan	make
17	di	about
17	Cain	Cain
17	favoleggiare	fable
17	altrui	people
18	Ella	She she
18	sorrise	smiled
18	alquanto	somewhat
18	e	and
18	poi	then
18	S'	If
18	elli	-
18	erra	errs
18	l'	the
18	oppinïon	opinion
18	mi	-
18	disse	said
18	d'	of
18	i	-
18	mortali	mortals
18	dove	where
18	chiave	key
18	di	of
18	senso	sense
18	non	not
18	diserra	unlocks
19	certo	surely
19	non	not
19	ti	thee
19	dovrien	ought
19	punger	to pierce
19	li	the
19	strali	shafts
19	d'	of
19	ammirazione	wonder
19	omai	now
19	poi	since
19	dietro	following
19	ai	the
19	sensi	senses
19	vedi	seest
19	che	that
19	la	the
19	ragione	reason
19	ha	has
19	corte	short
19	l'	-
19	ali	wings
20	Ma	But
20	dimmi	tell me
20	quel	what
20	che	-
20	tu	thou
20	da	-
20	te	thyself
20	ne	of it
20	pensi	thinkest
20	E	And
20	io	I
20	Ciò	That
20	che	which
20	n'	to us
20	appar	appears
20	qua	here
20	sù	above
20	diverso	diverse
20	credo	I believe
20	che	-
20	fanno	is caused by
20	i	-
20	corpi	bodies
20	rari	rare
20	e	and
20	densi	dense
21	Ed	And
21	ella	she
21	Certo	Surely
21	assai	enough
21	vedrai	thou shalt see
21	sommerso	submerged
21	nel	in
21	falso	error
21	il	the
21	creder	belief
21	tuo	thy
21	se	if
21	bene	well
21	ascolti	listenest
21	l'	the
21	argomentar	argument
21	ch'	that
21	io	I
21	li	it
21	farò	shall make
21	avverso	against
22	La	The
22	spera	sphere
22	ottava	eighth
22	vi	to you
22	dimostra	displays
22	molti	many
22	lumi	lights
22	li	-
22	quali	which
22	e	-
22	nel	in
22	quale	quality
22	e	and
22	nel	-
22	quanto	quantity
22	notar	noted
22	si	be
22	posson	may
22	di	of
22	diversi	different
22	volti	aspects
23	Se	If
23	raro	rare
23	e	and
23	denso	dense
23	ciò	this
23	facesser	effected
23	tanto	all
23	una	one
23	sola	single
23	virtù	virtue
23	sarebbe	would be
23	in	in
23	tutti	all
23	più	more
23	e	or
23	men	less
23	distributa	distributed
23	e	or
23	altrettanto	equally
24	Virtù	virtues
24	diverse	Different
24	esser	be
24	convegnon	must needs
24	frutti	fruits
24	di	of
24	princìpi	principles
24	formali	formal
24	e	and
24	quei	these
24	for	all but
24	ch'	-
24	uno	one
24	seguiterieno	would be
24	a	by
24	tua	thy
24	ragion	reckoning
24	distrutti	destroyed
25	Ancor	Further
25	se	if
25	raro	rarity
25	fosse	were
25	di	of
25	quel	that
25	bruno	darkness
25	cagion	cause
25	che	of which
25	tu	you
25	dimandi	ask
25	o	either
25	d'	through
25	oltre	and
25	in	through
25	parte	-
25	fora	would be
25	di	of
25	sua	its
25	materia	matter
25	sì	thus
25	digiuno	deficient
26	esto	-
26	pianeto	-
26	o	or else
26	sì	-
26	come	as
26	comparte	distributes
26	lo	the
26	grasso	fat
26	e	and
26	'l	the
26	magro	loan
26	un	a
26	corpo	body
26	così	so
26	questo	this
26	nel	in
26	suo	its
26	volume	volume
26	cangerebbe	would interchange
26	carte	leaves
27	Se	If
27	'l	the
27	primo	first
27	fosse	were
27	fora	would be
27	manifesto	manifest
27	ne	in
27	l'	the
27	eclissi	eclipses
27	del	of the
27	sol	sun
27	per	by
27	trasparere	shining through
27	lo	the
27	lume	light
27	come	as when
27	in	upon
27	altro	any other
27	raro	rare
27	ingesto	poured out
28	Questo	This
28	non	not
28	è	is
28	però	therefore
28	è	must
28	da	-
28	vedere	look at
28	de	at
28	l'	the
28	altro	other
28	e	and
28	s'	if
28	elli	it
28	avvien	happen
28	ch'	that
28	io	I
28	l'	this
28	altro	other
28	cassi	quash
28	falsificato	falsified
28	fia	will be
28	lo	-
28	tuo	thy
28	parere	opinion
29	S'	If
29	elli	it
29	è	be
29	che	that
29	questo	this
29	raro	rare
29	non	not
29	trapassi	passes through
29	esser	be
29	conviene	needs must
29	un	a
29	termine	limit
29	da	beyond
29	onde	which
29	lo	-
29	suo	its
29	contrario	contrary
29	più	further
29	passar	pass
29	non	not
29	lassi	allows
30	e	and
30	indi	thence
30	l'	the
30	altrui	from another body
30	raggio	ray
30	si	-
30	rifonde	is poured back
30	così	just
30	come	as
30	color	color
30	torna	returns
30	per	through
30	vetro	glass
30	lo	-
30	qual	which
30	di	-
30	retro	behind
30	a	-
30	sé	itself
30	piombo	lead
30	nasconde	hides
31	Or	Now
31	dirai	wilt say
31	tu	thou
31	ch'	that
31	el	-
31	si	itself
31	dimostra	shows
31	tetro	dimmer
31	ivi	there
31	lo	the
31	raggio	ray
31	più	-
31	che	than
31	in	in
31	altre	other
31	parti	parts
31	per	by
31	esser	being
31	lì	there
31	refratto	reflected
31	più	further
31	a	from
31	retro	back
32	Da	From
32	questa	this
32	instanza	objection
32	può	may
32	deliberarti	deliver thee
32	esperïenza	experiment
32	se	if
32	già	-
32	mai	ever
32	la	it
32	provi	thou try
32	ch'	which
32	esser	be
32	suol	is wont
32	fonte	fountain
32	ai	to the
32	rivi	streams
32	di	of
32	vostr'	your
32	arti	arts
33	Tre	three
33	specchi	mirrors
33	prenderai	Thou shalt take
33	e	and
33	i	of them
33	due	two
33	rimovi	set
33	da	from
33	te	thee
33	d'	at
33	un	an equal
33	modo	distance
33	e	and
33	l'	the
33	altro	other
33	più	further
33	rimosso	removed
33	tr'	between
33	ambo	two
33	li	the
33	primi	first
33	li	-
33	occhi	eyes
33	tuoi	thine
33	ritrovi	let meet
34	Rivolto	Turning
34	ad	toward
34	essi	them
34	fa	cause
34	che	-
34	dopo	behind
34	il	thy
34	dosso	back
34	ti	-
34	stea	to be placed
34	un	a
34	lume	light
34	che	which
34	i	the
34	tre	three
34	specchi	mirrors
34	accenda	may illumine
34	e	and
34	torni	return
34	a	to
34	te	thee
34	da	front
34	tutti	all
34	ripercosso	thrown back
35	Ben	Although
35	che	-
35	nel	in
35	quanto	quantity
35	tanto	so great
35	non	not
35	si	-
35	stenda	reach thee
35	la	the
35	vista	image
35	più	more
35	lontana	distant
35	lì	then
35	vedrai	thou wilt see
35	come	how
35	convien	it cannot but
35	ch'	be
35	igualmente	of equal
35	risplenda	brightness
36	Or	Now
36	come	as
36	ai	beneath
36	colpi	blows
36	de	of
36	li	the
36	caldi	warm
36	rai	rays
36	de	under
36	la	the
36	neve	snow
36	riman	remains
36	nudo	bare
36	il	that which
36	suggetto	lies
36	e	both
36	dal	of the
36	colore	color
36	e	and
36	dal	the
36	freddo	cold
36	primai	former
37	così	thus
37	rimaso	remaining
37	te	thy
37	ne	in
37	l'	the
37	intelletto	intellect
38	voglio	I will
38	informar	tell
38	di	of
38	luce	the true cause
38	sì	-
38	vivace	-
38	che	-
38	ti	thee
38	tremolerà	the variety
38	nel	in
38	suo	the moon's
38	aspetto	surface
39	Dentro	Within
39	dal	the
39	ciel	heaven
39	de	of
39	la	the
39	divina	divine
39	pace	peace
39	si	-
39	gira	revolves
39	un	a
39	corpo	body
39	ne	in
39	la	-
39	cui	whose
39	virtute	virtue
39	l'	the
39	esser	being
39	di	of
39	tutto	all
39	suo	it
39	contento	contains
39	giace	lies
40	Lo	The
40	ciel	heaven
40	seguente	following
40	c'	which
40	ha	has
40	tante	so many
40	vedute	sights
40	quell'	that
40	esser	being
40	parte	distributes
40	per	through
40	diverse	divers
40	essenze	essences
40	da	from
40	lui	it
40	distratte	distinct
40	e	and
40	da	by
40	lui	it
40	contenute	contained
41	Li	The
41	altri	other
41	giron	spheres
41	per	by
41	varie	various
41	differenze	differences
41	le	the
41	distinzion	distinctions
41	che	which
41	dentro	within
41	da	-
41	sé	themselves
41	hanno	have
41	dispongono	dispose
41	a	unto
41	lor	their
41	fini	ends
41	e	and
41	lor	their
41	semenze	seeds
42	Questi	These
42	organi	organs
42	del	of the
42	mondo	world
42	così	thus
42	vanno	proceed
42	come	as
42	tu	thou
42	vedi	seest
42	omai	now
42	di	from
42	grado	grade
42	in	to
42	grado	grade
42	che	for
42	di	from
42	sù	above
42	prendono	receivefrom
42	e	and
42	di	-
42	sotto	below
42	fanno	operate
43	Riguarda	Observe me
43	bene	well
43	omai	-
43	sì	-
43	com'	how
43	io	I
43	vado	advance
43	per	through
43	questo	this
43	loco	place
43	al	to the
43	vero	truth
43	che	which
43	disiri	thou desirest
43	sì	so
43	che	that
43	poi	hereafter
43	sappi	thou mayest know
43	sol	alone
43	tener	to keep
43	lo	the
43	guado	ford
44	Lo	The
44	moto	motion
44	e	and
44	la	the
44	virtù	virtue
44	d'	of
44	i	the
44	santi	holy
44	giri	spheres
44	come	as
44	dal	by
44	fabbro	smith
44	l'	the
44	arte	work
44	del	of
44	martello	hammer
44	da'	by
44	beati	blessed
44	motor	motors
44	convien	must needs
44	che	-
44	spiri	be inspired
45	e	And
45	'l	the
45	ciel	heaven
45	cui	which
45	tanti	so many
45	lumi	lights
45	fanno	make
45	bello	beautiful
45	de	from
45	la	the
45	mente	Mind
45	profonda	deep
45	che	which
45	lui	it
45	volve	revolves
45	prende	takes
45	l'	its
45	image	image
45	e	and
45	fassene	makes thereof
45	suggello	a seal
46	E	And
46	come	as
46	l'	the
46	alma	soul
46	dentro	within
46	a	-
46	vostra	your
46	polve	dust
46	per	through
46	differenti	different
46	membra	members
46	e	and
46	conformate	conformed
46	a	to
46	diverse	divers
46	potenze	potencies
46	si	is
46	risolve	diffused
47	così	so
47	l'	the
47	intelligenza	Intelligence
47	sua	its own
47	bontate	goodness
47	multiplicata	multiplied
47	per	through
47	le	the
47	stelle	stars
47	spiega	displays
47	girando	circling
47	sé	itself
47	sovra	upon
47	sua	its own
47	unitate	unity
48	Virtù	virtue
48	diversa	divers
48	fa	makes
48	diversa	divers
48	lega	alloy
48	col	with
48	prezïoso	precious
48	corpo	body
48	ch'	that
48	ella	it
48	avviva	quickens
48	nel	in
48	qual	which
48	sì	even
48	come	as
48	vita	life
48	in	in
48	voi	you
48	si	it
48	lega	bound
49	Per	Because of
49	la	the
49	natura	nature
49	lieta	glad
49	onde	whence
49	deriva	it flows
49	la	the
49	virtù	virtue
49	mista	mingled
49	per	through
49	lo	the
49	corpo	body
49	luce	shines
49	come	as
49	letizia	gladness
49	per	through
49	pupilla	pupil
49	viva	living
50	Da	From
50	essa	this
50	vien	comes
50	ciò	whatso
50	che	-
50	da	between
50	luce	light
50	a	-
50	luce	light
50	par	seems
50	differente	different
50	non	not
50	da	from
50	denso	dense
50	e	and
50	raro	rare
50	essa	this
50	è	is
50	formal	formal
50	principio	principle
50	che	which
50	produce	produces
51	conforme	conformed
51	a	unto
51	sua	its
51	bontà	goodness
51	lo	the
51	turbo	dark
51	e	and
51	'l	the
51	chiaro	bright
